price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon
31000000,17.24949776244942,65.0,2,16,17,метро ЦСКА,8 минут пешком,1,8,https://www.cian.ru/sale/flat/308207835/,"ул. Гризодубовой, 1К3",55.781732,37.532601
14600000,16.496532086678563,35.1,1,7,14,метро ЦСКА,18 минут пешком,1,18,https://www.cian.ru/sale/flat/308803284/,"ул. Поликарпова, 25",55.778411,37.543946
24500000,17.014183675514957,56.4,2,2,15,метро ЦСКА,6 минут пешком,1,6,https://www.cian.ru/sale/flat/315928874/,"Ходынский бул., 2",55.789254,37.53808
35000000,17.37085861945369,63.2,2,2,17,метро ЦСКА,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/314391577/,"Ходынский бул., 2",55.789254,37.53808
35500000,17.385043254445645,40.1,1,6,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313472049/,"Ленинградский просп., 37/5",55.79388,37.541018
40000000,17.50439001207821,59.0,2,5,13,метро ЦСКА,16 минут пешком,1,16,https://www.cian.ru/sale/flat/315357925/,"Ленинградский просп., 35С2",55.790671,37.550145
44000000,17.599700191882537,86.0,2,6,26,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/311675175/,"проезд Березовой Рощи, 12",55.791177,37.52042
49999000,17.727513563192417,65.0,2,36,42,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/309491631/,"Ленинградский просп., 37/3",55.79307,37.541862
55000000,17.822843743196746,62.5,2,22,40,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316041700/,"Ленинградский просп., 37/3",55.79307,37.541862
59500000,17.901486870515857,66.6,2,19,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316572502/,"Ленинградский просп., 37/6",55.794173,37.542222
59900000,17.908187063085677,121.9,4,9,27,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313253033/,"проезд Березовой Рощи, 12",55.791177,37.52042
65970000,18.004710651199055,122.5,3,7,24,метро ЦСКА,9 минут пешком,1,9,https://www.cian.ru/sale/flat/309689570/,"ул. Авиаконструктора Сухого, 2к1",55.786414,37.542572
70000000,18.064005800013632,68.0,2,7,7,метро ЦСКА,15 минут пешком,1,15,https://www.cian.ru/sale/flat/314556950/,"Ленинградский просп., 37/6",55.794173,37.542222
75000000,18.132998671500584,140.0,3,2,24,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/312726564/,"проезд Березовой Рощи, 10",55.78891,37.519117
75000000,18.132998671500584,72.8,2,28,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/305251498/,"Ленинградский просп., 37/6",55.794173,37.542222
75000000,18.132998671500584,101.9,3,14,24,метро ЦСКА,17 минут пешком,1,17,https://www.cian.ru/sale/flat/308242241/,"Хорошевское ш., 25Ак1",55.777105,37.526941
78000000,18.172219384653864,72.0,2,24,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315197994/,"Ленинградский просп., 37/5",55.79388,37.541018
90000000,18.31532022829454,91.0,3,13,41,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/315740609/,"Ленинградский просп., 37/4",55.793313,37.540533
90000000,18.31532022829454,135.0,4,2,40,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/298777585/,"Ленинградский просп., 37/7",55.793698,37.543192
94300000,18.361991747603685,100.0,3,35,40,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/306155025/,"Ленинградский просп., 37/3",55.79307,37.541862
95000000,18.36938744956481,96.0,3,5,37,метро ЦСКА,15 минут пешком,1,15,https://www.cian.ru/sale/flat/313469336/,"Ленинградский просп., 37/7",55.793698,37.543192
100500000,18.42566828546341,91.0,3,23,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/314188376/,"Ленинградский просп., 37/5",55.79388,37.541018
102400000,18.44439727056968,165.0,5,20,41,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/316626945/,"Ленинградский просп., 37/5",55.79388,37.541018
112000000,18.534009429259367,161.0,5,31,37,метро ЦСКА,13 минут пешком,1,13,https://www.cian.ru/sale/flat/313292290/,"Ленинградский просп., 37/3",55.79307,37.541862
117000000,18.57768449276203,115.0,4,11,40,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/309880293/,"Ленинградский просп., 37/4",55.793313,37.540533
117000000,18.57768449276203,112.9,4,11,40,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/310622658/,"Ленинградский просп., 37/4",55.793313,37.540533
140000000,18.75715298057358,112.7,3,32,40,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/310625416/,"Ленинградский просп., 37/4",55.793313,37.540533
155000000,18.85893567488352,159.4,3,34,36,метро ЦСКА,11 минут пешком,1,11,https://www.cian.ru/sale/flat/316409122/,"Ленинградский просп., 37/4",55.793313,37.540533
21882120,16.901180422963254,49.8,2,2,24,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/305914265/,ул. Гастелло,55.78398,37.688755
53128000,17.788214654202687,116.0,5,19,24,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/315059945/,ул. Гастелло,55.78398,37.688755
44450000,17.609875519924188,100.0,3,7,16,метро Сокол,11 минут пешком,1,11,https://www.cian.ru/sale/flat/306891345/,"ул. Матросская Тишина, 12",55.786009,37.690192
